"","CS12","CS14","CS17","CS19"
"SETD5",0.243593528826319,0.315313841195599,0.629203222830548,0.326509497416619
"FEN1",0.327499714772216,0.0738322749521083,0.05601601145636,0.0938273051539791
"PRELID1",1.07195299716701,0.68186078429177,0.253889825142537,0.607854539920532
"BUB1",0.171325015315078,0.0614352126463492,0.0409930557686886,0.0153110937417959
"PA2G4",1.33187487740065,1.04325277232332,0.362991605349668,0.636337243418852
"THOP1",0.111557852011142,0.0607859830142373,0.106796203395984,0.0399713940492311
"CKS1B",1.05750819426298,0.335885531525217,0.154976408890629,0.142948155768956
"CBX2",0.171711742840775,0.123828139686171,0.13066626451357,0.041789525083689
"MRPL11",0.76042449023137,0.35105972957216,0.137870436831826,0.221339019591129
"BANF1",1.16969205035041,0.91182693348122,0.509996495110943,0.785993496738226
"PFAS",0.131119319392189,0.0821016117116035,0.0783680758917397,0.0473093624874398
"AURKB",0.397546967712735,0.14437753062588,0.129626229653392,0.0390272958253399
"RCC2",0.340725690704034,0.324713133827267,0.497598183182665,0.206104463528033
"DCTPP1",0.644236734357239,0.389155191425997,0.109025107788116,0.232315168439295
"RCC1",0.201526879093549,0.0671577213158649,0.0732965436166746,0.028919653075932
"SF3A3",0.524426834940684,0.362421243202178,0.250338921241431,0.215291410760432
"SIVA1",0.990457580609032,0.395641713324456,0.19042066115109,0.322096621078403
"PTMA",3.91508344643307,3.77319707527328,3.06956890479974,3.31038098122456
"PPIA",2.83973766649743,2.57830340388691,1.61726921242749,2.22868105669081
"APRT",0.926792448254937,0.535760478895956,0.207277818792335,0.408944219698548
"DAXX",0.206573600127789,0.127972207701714,0.0987034712300076,0.113565132897014
"ABCF1",0.590008663994482,0.472726204801797,0.234091201907909,0.308365017951826
"RNPS1",0.736282481221306,0.626331702345155,0.656223013003654,0.492674609939415
"JPT2",0.426376051534524,0.271187796288617,0.252876161472491,0.145323431220254
"TRIM71",0.19712966239811,0.0579393388956039,0.116727342553307,0.0116543928656002
"NUP62",0.339307976893866,0.170288411911769,0.190176757515048,0.153253340247436
"TOMM6",0,0,0,0
"FANCG",0.1363238883073,0.0453852461580325,0.028591926154358,0.0333967798753081
"PRKDC",1.28794268632736,0.895958120974041,0.788627912649637,0.773204276223865
"UHRF1",0.153969199872639,0.0480056913245007,0.0761421225465102,0.0320430410565871
"DERA",0.240355953684165,0.0832484367153644,0.0413898688932293,0.0835977202114958
"FAM136A",0.393117604808245,0.199034020208018,0.122944440459689,0.192920176149486
"DEPDC1B",0.232899020865398,0.0968046504876565,0.055897743982624,0.015817306165643
"NOP58",0.587998956532445,0.42000959454565,0.362759236818696,0.261444118924
"IPO5",0.608533438534316,0.367405812184347,0.743150241543049,0.3469166677348
"TBC1D1",0.116991663578222,0.0807216776667933,0.0939759179380819,0.0833439331591033
"NUCKS1",1.57984076293555,1.46907422218527,1.52884611810827,1.26460723278781
"DAZAP1",0.358662304100791,0.165899594194818,0.312842121503087,0.157479856108987
"UNG",0.303751082221143,0.156884848768545,0.131947913533991,0.111325315706331
"SNRPA",0.635665224043005,0.440753405204187,0.25668473452454,0.15673492112037
"RPS5",3.30605849302907,2.9179308095717,1.64802216044612,2.47909515632525
"STARD7",0.197052907729313,0.207643593971181,0.27986217121204,0.244211187533539
"ORC1",0.0479767382965503,0.0203225463388564,0.017913075789809,0.00123116642096965
"RPLP0",3.49882766413166,2.90103612001328,2.07921231552548,2.35911251298236
"PABPC4",0.395752935447705,0.290714782737942,0.631920570575699,0.27395023361054
"PHGDH",0.729144312764128,0.374105582109439,0.099890428581763,0.17915214767418
"CDC6",0.134085620060059,0.0323077189128928,0.0264931160082198,0.00991374082591031
"HSP90AB1",2.96662496934764,2.62287455366477,2.08645466702448,2.43199901029329
"MTHFD1",0.168265518847557,0.0690871769681161,0.0620962152438329,0.0863646594223266
"MYBL2",0.232281352770673,0.0517532589207284,0.0292143767044684,0.00691231345005743
"AHCY",0.602460704126201,0.268296850265288,0.145760352950659,0.211791567669266
"KNOP1",0.69302613994656,0.468897879393544,0.235316635581739,0.291184946114248
"MCM4",0.253587400423476,0.0839640094005199,0.122567513438841,0.10547579571981
"SLC1A5",0.18596641884874,0.0626638696537507,0.023520112073308,0.0134651563653996
"RPA3",1.05155746620181,0.403171398781261,0.154061931039469,0.258555402593833
"NSMCE4A",0.439923317718139,0.263734558756167,0.133651717707409,0.17710577394604
"C1QBP",1.20264423803765,0.878216619970972,0.521098789918244,0.748178519164432
"PTGES3",1.7860829434737,1.49301502909169,0.895824780831204,1.11977169320926
"NUP107",0.239112832399769,0.167472703259157,0.199487489087647,0.120560431964053
"GAPDH",3.75695989309776,3.18071828207716,2.10584805026102,2.61012241253165
"MCM3",0.317204073079488,0.0871967672486345,0.0792039415170293,0.057798268693134
"RPS12",4.08902755436272,3.67232969881501,2.33608890813006,3.20942201803401
"ECT2",0.287556098109589,0.12419138296752,0.112037471199082,0.0528491400214471
"HSPE1",1.91853479398757,1.5339879700327,0.713233552798953,1.23354769415995
"CTNNAL1",0.511622985480018,0.296257285489737,0.146318670583055,0.119395167474191
"SET",2.23974057632534,1.85137722536127,1.61692522473563,1.62788349461413
"EXOSC8",0.807933131691361,0.411385331919595,0.328356262923508,0.260239914578285
"NAA50",0.297060468880218,0.203587581917742,0.205153612296345,0.141967998303226
"AMD1",0.523024799978488,0.636399161216781,0.430961157209218,0.339807788781869
"CKS2",1.00108070503099,0.481196932868124,0.201024501507684,0.144857751689813
"CSE1L",0.373499886058004,0.324237701420222,0.449133884773044,0.258692719752746
"NUP85",0.120453954004938,0.106706369005011,0.0839296775745388,0.0549676030646744
"SNRPD2",1.68221708346085,1.38728657527394,0.542072917814791,1.0357463826783
"BCL2L12",0.369402926169295,0.10298906624959,0.047533309422893,0.0189612911700583
"TRAP1",0.415317511965008,0.243108955530594,0.213797900531305,0.21666559583063
"PAICS",1.06548248645482,0.502448776705845,0.273375010658421,0.242887758952135
"PPAT",0.338594694920807,0.206344087028341,0.126192475406728,0.0994268918227865
"DKC1",0.357734090447304,0.154718973343699,0.165451733505278,0.145189790677078
"RPA1",0.219890440653569,0.0910196183903445,0.168534064836275,0.077927515070424
"NASP",1.77561271662434,1.22757608867604,0.776200700621102,0.802681996112161
"SRRM1",1.37058955242262,1.22594864418687,0.666308308484949,0.671981581922743
"PSAT1",0.5185265192281,0.192273808876128,0.134298628003229,0.173587898918571
"RPL35",3.11270475250874,2.91943241337601,1.81221037349062,2.54456802983201
"RPLP1",4.43542143349566,3.92405583575588,2.75966994377174,3.49978226344283
"RPS2",4.20600649316017,3.71786764707211,2.47894332620523,3.5642894487409
"IMPA2",0.253812831044703,0.0573240026543095,0.0414470127695186,0.0227804130373036
"RPS8",4.43019143981437,3.93382026651062,2.53588388770776,3.46196333139719
