,external_gene_name
1508,STMN2
1509,ETFB
1510,CHCHD2
1511,LIMK1
1512,ELAVL2
1513,VAT1
1514,P2RX3
1515,NEDD9
1516,COX7A2
1517,TARS
1518,EIF1B
1519,AKT3
1520,KDM5B
1521,ATP6V0B
1522,STMN1
1523,CNR1
1524,SPP1
1525,CCNI
1526,PAIP2
1527,DUSP4
1528,CXCR4
1529,MORF4L2
1530,SEPT6
1531,CDKN1C
1532,DDA1
1533,CAP1
1534,ACAP3
1535,SNAP25
1536,SYT4
1537,UBQLN1
1538,MDM2
1539,HS6ST1
1540,DNAJB5
1541,RAB1A
1542,NOVA1
1543,ATP6V1B2
1544,ZEB1
1545,FAM57B
1546,NRG1
1547,SSBP3
1548,RALGDS
1549,ELAVL4
1550,ANTXR2
1551,NELL1
1552,MIDN
1553,SEMA6B
1554,IRF2BP2
1555,YWHAG
1556,SNCG
1557,HOXB2
1558,NR2F1
1559,NIPSNAP1
1560,NR2F2
1561,JPT1
1562,HDAC2
1563,STMN3
1564,L1CAM
1565,COL5A2
1566,BAG6
1567,DCTN1
1568,TMSB4X
1569,MLLT11
1570,TUBB3
1779,SLC25A13
1780,MGST1
1781,RPS20
1782,SLC25A39
1783,ZIC2
1784,DSG2
1785,RPL18
1786,MTHFD2
1787,PABPC1
1788,RPL31
1789,WDR1
1790,DLG1
1791,XPO1
1792,C14orf166
1793,DNMT3B
1794,FKBP1A
1795,RPL6
1796,MSH2
1797,SRPK1
1798,RPL3
1799,EIF3D
1800,CCNB1IP1
1801,PCYT1B
1802,NUTF2
1803,SALL1
1804,EEF1D
1805,TNNT1
1806,RPL18A
1807,CPVL
1808,PTPRZ1
1809,PSMA2
1810,COA1
1811,EIF4H
1812,EIF3A
1813,NPM3
1814,LHPP
1815,TFAM
1816,RPL28
1817,RPL19
1818,TMEM97
1819,RPL34
1820,RPS13
1821,MLEC
1822,LTA4H
1823,CAND1
1824,SLC29A1
1825,HSPA9
1826,MRPS27
1827,RPL24
1828,CCT4
1829,ARID3A
1830,CACYBP
1831,RPL22
1832,MRPS15
1833,RPS25
1834,RPN2
1835,RPL21
1836,GTF3A
1837,RPL5
1838,RPS10
1839,RPL23
1840,HAT1
1841,APOE
1842,APOC1
1843,RPL36
1844,ASS1
1845,PPT1
1846,RPL27
1847,PDHA1
1848,LIN28A
1849,LDHA
1850,RPS15A
1851,LRP4
1852,DDB2
1853,CTSV
1854,RPS6
1855,MTCH1
1856,RPS24
1857,LEF1
1858,PRICKLE1
1859,DUSP6
1860,SEC11A
1861,GCSH
1862,RPL11
1863,PDIA6
1864,RPL32
1865,RPS3A
1866,RPL37
1867,SLC16A2
1868,RPL7
1869,GSN
1870,RPL7A
1871,SERPINH1
1872,RPS3
1873,EI24
1874,ATP5A1
1875,ZFP36L2
1876,GJA1
1877,MMS19
1878,DBI
1879,RPL30
1880,DMKN
1881,MSX1
1882,ANXA5
1883,ABCE1
1884,RPS14
1885,NUDT5
1886,HPRT1
1887,DDX21
1888,RPL27A
1889,RPL13
1890,TUBA1C
1891,AXIN2
1892,ROR2
1893,CLIC4
1894,CRTAP
1895,RPS9
1896,PGAM1
1897,RPS7
1898,FOXB1
1899,BSG
1900,UQCRH
1901,RPL15
1902,RPS27
1903,IMPDH2
1904,EIF3K
1905,ARID3B
1906,SNRPE
1907,RPL35A
1908,PSMG1
1909,SEPT9
1910,PPP1CC
1911,NAP1L1
1912,RNF220
1913,RPL14
1914,IARS
1915,PRPF40A
1916,TCF4
1917,RPL37A
1918,RPL12
1919,RPS4X
1920,RPL23A
1921,ARHGAP11A
1922,IPO7
1923,ARL2
1924,RPS29
1925,RPL41
1926,RPS18
1927,RPS28
1928,RPL36A
1929,NME2
1930,EEF1G
1931,RPL17
2284,PAX6
2285,UQCRC1
2286,NCAPD2
2287,HMGB3
2288,THRAP3
2289,BCAT1
2290,U2AF2
2291,YBX1
2292,ELAVL1
2293,SMARCD1
2294,PRR11
2295,TCF3
2296,MCM2
2297,CLNS1A
2298,TEAD2
2299,PLXNA2
2300,SPAG5
2301,FBLN1
2302,KIF22
2303,FAT1
2304,HUWE1
2305,SRRT
2306,SF3B2
2307,TPX2
2308,PEBP1
2309,FUS
2310,NRCAM
2311,CBX5
2312,HNRNPH3
2313,HNRNPM
