"","CS12","CS14","CS17","CS19"
"MSI1",0.358313132411252,0.320980032782509,0.455133420311003,0.230329797367974
"AKIRIN2",0.411599905253691,0.484399413817836,0.291777521352304,0.403979151156596
"DCTN3",0.87371991982388,1.01463808454677,0.349581324919378,1.01060623032012
"ACTR1A",0.310247624171562,0.422030047059938,0.372694041811786,0.411791343771577
"GTF2A2",0.890155513896636,0.903828427231111,0.553182986879847,0.855646136594116
"SRP14",2.69847228031164,2.72996300759732,1.98904082255168,2.55742134495456
"SLC39A6",0.436942652345267,0.533022828745976,0.783724777345061,0.502570767034068
"MCL1",0.312962148151059,0.376893640519689,0.364296729161249,0.260672325750733
"GALNT2",0.167329096169675,0.13908038027565,0.262055915538962,0.149426736808747
"CEP170",0.377697273183545,0.773970283150819,1.4423724562393,0.972992783398279
"ARF1",0.801539572131094,0.820287572857727,0.929432657132768,0.65411157131213
"DYNLT1",1.05687034322537,1.12716653099019,0.635820410807305,1.11451378895471
"DPYSL4",0.536364392022681,0.626118094150726,0.505288798387754,0.423907781529485
"SCHIP1",0.0597366497112362,0.111489803046198,0.0719134530129461,0.0677755752840766
"FAM168B",0.131914020230085,0.200695095888918,0.425387048306901,0.225331600653301
"MAGED4",0.00398236939247473,0.00218009522929816,0.00361221672525185,0.000643750941187054
"SORBS2",0.0789419096135571,0.245154573975085,0.68703635195887,0.496119960664077
"JAM2",0.454147001919608,0.339894650721667,0.174417523010091,0.286013616760559
"PTMS",1.99949049619563,2.17326807752458,1.73134346967794,1.97775513953641
"CELF3",0.0944095074773974,0.281560593685411,0.904418354660077,0.280013994523788
"VPS28",0.941981668749251,1.13078355468911,0.53720587353362,0.986930049535173
"ARPC5",0.755207414651985,0.897771048200648,0.618993277270366,0.675614202110419
"ARPC2",0.967868723625738,0.936980055602533,0.63435138293802,0.825264993313448
"TTC7B",0.0441177296379656,0.0577353264889137,0.107244695222842,0.0656904736587892
"JAM3",0.283293218581701,0.436664870245639,0.359468976835168,0.233452187752228
"ARF4",0.741122130203407,0.753896807817945,0.565104262505651,0.639783814785307
"SEPT2",0.810170335613441,0.8470741682446,0.92741507269178,0.717862951384029
"GABARAP",0.1801434587964,0.430044122042518,0.232282200826173,0.231974063141967
"PKIA",0.398213573570008,0.828612661263241,0.853539734518483,0.989790241299497
"TBCA",1.5153782988372,1.60243044703381,1.10516190691823,1.38673255057077
"DCTN2",0.894492352880849,0.809902212005863,0.378374773294421,0.622349163041967
"BAIAP2",0.142503459303826,0.149127492588783,0.109186233601578,0.0700393618917739
"BASP1",1.59348583188126,2.36472099298882,2.29045851274716,2.25739782729599
"CD151",0.226888467056298,0.431149373838453,0.175296147238698,0.165231860752371
"TSHZ1",0.242442779780225,0.380281012366966,0.410757126743177,0.293687714714054
"MXRA7",0.349187920036909,0.400860539045599,0.263602068376524,0.28490165466249
"NGRN",0.078961441836326,0.147460434476389,0.285871468122053,0.177091808788654
"TCEAL7",0.535035170836229,0.914464065304654,0.407940599591113,0.576603202814399
"NAA38",1.00065154503464,1.03509713966834,0.351906492838387,0.641850602693823
"GPC6",0.201867064625242,0.180294163693194,0.343419797585771,0.113565085309992
"DAZAP2",0.213032833167448,0.256609128951978,0.240856073716602,0.194317745685294
"ACTG1",3.42610462703707,3.87489471670651,3.40123172926838,3.43654707267297
"TCEAL9",0.559463398229907,0.744443121344056,0.318192198763251,0.515974295719651
"GNG2",0.142837401072769,0.461064233684945,0.865258349166049,0.545954264977344
"MAGED4B",0.00078428213630281,0.000980306437444792,0.00252697687843291,0.001472822376905
"AGRN",0.210351297190675,0.156555677194807,0.665596660420392,0.314851507110719
"MYL6B",1.07211367226437,1.16330502345027,0.551365654205019,0.91205459399775
"SPTAN1",0.251604905499366,0.434038523322904,0.909146489749179,0.870067950782504
"GDI1",0.372998709582981,0.698100090764311,1.30142548604055,0.803702546893504
"ATF6B",0.132820217186775,0.105428833706609,0.305338815183043,0.159611036947323
"CSNK1E",0.345919891796972,0.376336323581418,1.17182156599615,0.350284846826135
"REPIN1",0.276753747717691,0.240118271432108,0.295201248417977,0.178156560134522
"FIS1",0.964401594050273,0.918651345168112,0.335715809632009,0.87064053531741
"VAMP2",0.386456300140562,0.819687354264451,0.655229653363175,0.852317155816637
"C14orf132",0.219723701686794,0.333455707197833,0.562592076119615,0.500769342111817
"MRPL33",0.917668168975399,0.915320043997581,0.42104753631285,0.780335054495509
"MEX3A",0.484410583180979,0.599472089114169,0.713173072222957,0.556547525373342
"MARCKS",2.15258162830734,2.45635331426664,2.67942018660667,2.70616960442601
"RHBDD2",0.202932831524696,0.195635396095464,0.152060555852773,0.192654382319745
"LAMP2",0.111342256956165,0.162841620842481,0.177667791973661,0.169834065987894
"AKAP8L",0.282289166306213,0.477148966210075,0.454753931746162,0.270543031244564
"CALCOCO1",0.0599827191897634,0.146288910646673,0.176745597704341,0.150421923560798
"ATP6V0A1",0.133113900169604,0.355866936541999,0.476412880319183,0.444143695320729
"HERPUD1",0.154309943426434,0.277854458922843,0.216598424027535,0.200360039660133
"FAM168A",0.0874104554661486,0.159622954944639,0.53272486466303,0.234117695526565
"PDZD4",0.036595458938301,0.0967665021716165,0.441897907559339,0.182976342939941
"IP6K2",0.535904719214573,0.561472694929553,0.643886568702504,0.545409902044542
"PFN2",0.725045086581727,0.791991887765572,0.654850294371327,0.630215830598112
"SEL1L",0.106543747424041,0.124786340292239,0.280704499257017,0.247880128906829
"ATP6AP1",0.204815113136935,0.274178761888684,0.281275961254993,0.347735351797771
"CD59",0.167391508571838,0.230034969402107,0.161730713816918,0.209221864288075
"NLRP1",0.322424170689691,0.396127964939036,0.419480929145846,0.598476905513131
"CDK16",0.221995057768379,0.203030374103092,0.322422917952188,0.231521512996497
"MAGED2",0.659233040338885,0.825822121632607,0.677583306053633,1.0805637582656
"ASAH1",0.234842884619143,0.258340280788406,0.20481902915938,0.394392902799581
"AES",0.381877283196817,0.404340256714043,0.650640160324977,0.559227531042009
"OLFM2",0.0514473578148163,0.177491028870675,0.293718277993732,0.378323279737276
"PLD3",0.333441063921652,0.54515610387656,0.677161873530178,0.71149771436876
"CADM4",0.107710514825723,0.183199399301713,0.46128185842832,0.34958142753833
"HOXA5",0.154022191959682,0.395390405751865,0.588081492948089,0.227959000309487
"AK1",0.0609711187244185,0.0923452259844392,0.108467351680256,0.100200764800716
"NPDC1",0.19679130864509,0.290129149647464,0.7038447058528,0.585769511934718
"ATN1",0.14840657628902,0.180389682200126,0.546405660622081,0.277885964656176
"PCDHB2",0.00969741745391546,0.0323415878102569,0.107037864339882,0.1268628085981
"HES1",0.748686372690098,0.678254971243703,0.260751386552297,0.455213648691555
"TMEM59",0.700010922747545,0.921574019435704,0.63341757289906,0.908096060904796
"YPEL5",0.169134374189163,0.432032456036261,0.292744023376152,0.368712056113432
"MXI1",0.410543434861637,0.650360719364011,0.500891364705516,0.35776935387199
"NKX2-2",0.131368426180047,0.112908452904642,0.135263905509744,0.103173418597467
"CAPNS1",0.304561302157782,0.302275224370051,0.263744068598319,0.282529713772746
"CDO1",0.176909926174612,0.277723950020983,0.174365672106279,0.252992506955857
"DLG4",0.0560565656785262,0.0993676741809035,0.248417246606723,0.107188730410526
"MTSS1L",0.0244709597532015,0.0376483778072454,0.105019883851223,0.0502882870622189
"TCEAL4",0.885607479596695,0.976556328835805,0.494107192232265,0.978497164332392
"BEX1",1.27675119641138,1.62661374861453,1.07092187702342,1.98784510348276
"MEIS2",0.853569406335839,1.56716331480488,1.53411520541587,0.927346931629004
"EMP1",0.0068763736095552,0.0113385580003703,0.0193594037157912,0.0653106161831924
"DTNA",0.017303601021559,0.0954518953649663,0.297709299813824,0.183001537597589
"GNS",0.0551563362752464,0.0607064738414948,0.157802036567861,0.104105315298055
"ITM2B",0.910102736473178,1.0372397741263,1.24089525835732,1.15797809093451
"SCRN1",0.104651638715206,0.337349865863006,0.469360001872576,0.376294088167614
"FXYD6",0.618607375995544,0.511547812252423,0.684529768060386,0.710782229658107
"CLSTN3",0.0588695184508391,0.126619459222654,0.198757343930716,0.188116811873031
"APP",0.419276608479647,0.652821063184544,1.31188368605698,1.30643549455054
"TMCO1",0.699672489785667,0.806238555741735,0.484115276245344,0.771170108654691
"ARL6IP5",0.321521820999257,0.711289297285491,0.593668728640189,0.858667800659574
"ADAMTS16",0.0112381400407667,0.0202929445648223,0.0164120308518372,0.0181953767368517
"PNRC1",0.659975673747135,0.481061402626158,0.225771318290064,0.453591207844963
"GPC3",0.415291135976233,0.416489218086323,0.209900702274635,0.145671540894448
"NTRK2",0.0765409307776728,0.160889740105943,0.501768155823031,0.560785408069782
"NCAM1",0.382357711395959,1.06783215174795,2.10043323134636,1.43367848366327
"LYPD1",0.0247097887906114,0.0993857119802054,0.168396386415734,0.27201838195934
"TWF1",0.140507505900713,0.22554127718774,0.169620728523601,0.179548008348757
"RAB3C",0.117809844709647,0.463462196970625,1.05344483003269,0.630811196703028
"KIF5A",0.0924659713338161,0.257190462152956,0.524107465658159,0.511631105438942
"ATP6V0D1",0.200278467533212,0.321556953300183,0.184194702100567,0.389829339309929
"SQSTM1",0.137382210683619,0.164677100535667,0.123275843879987,0.224334891992091
"RHOBTB3",0.297633289862649,0.632387365921779,0.668715344882539,0.439035699157251
"UQCRQ",0.956653572223888,1.07720183450454,0.548222949305336,1.25934951446131
"SEC11C",0.342212062219244,0.601969410293285,0.323080682165132,0.98044814744199
"CASC4",0.118907740964386,0.180269313002249,0.478702778506874,0.359580277098665
"ADAM9",0.0443222718797735,0.0566797946776074,0.0889401070070781,0.0819422463580404
"ANTXR1",0.0632041618164853,0.0928791430759457,0.125698766247354,0.0883290291026339
"NLGN2",0.0727592135577217,0.0842565709605679,0.322399419999059,0.156872965093488
"GAP43",0.229549379476378,1.21662799698398,1.44866779699135,1.57198009512764
"PAIP1",0.476727551385534,0.569550018281477,0.649590320392133,0.485278434968321
"CNIH2",0.341513295830069,0.422581053868785,0.378127068690675,0.506239970538249
"METRNL",0.0669218627941496,0.105100409231585,0.0697889857514981,0.0961539901061492
"B4GALNT4",0.0957787096242856,0.0976908733079493,0.744105075720562,0.249664503925418
"TSHZ2",0.207521277258808,0.484783793807237,0.536853416587221,0.544175722425795
"EXOC7",0.146033581612779,0.165557529611838,0.420281014595958,0.2232082110006
"TTC3",0.880975991317132,1.40466104818482,2.19039071969575,2.04831906818168
"CRIP2",0.0750904431537166,0.500405607476292,0.422432807492211,0.454457524453539
"ABAT",0.127241770740493,0.526004299950844,0.615874204095944,0.584695217713739
"PTTG1IP",0.536111668465059,0.598630118425892,0.607969912106475,0.657332683607978
"KLHDC8B",0.227897848349843,0.305783024725327,0.122995102946054,0.127778530180116
"MAPT",0.0799361549981367,0.293510459689552,0.950783378925935,0.931454582177156
"SLIT1",0.0748218365898133,0.103154802656005,0.594350202044864,0.333201381529704
"PSAP",0.443063861175079,0.587528796456356,0.825643377180296,0.783279784104327
"HOXC6",0.121793707101717,0.839060147669622,0.493838807523778,0.433639983356874
"HOXC4",0.332332206153839,0.301969188438976,0.574456871276114,0.280986422628543
"LBH",0.02423779889894,0.167855670243401,0.541300292809104,0.306486413101917
"OST4",1.58164440442661,1.58910859007688,0.737455185869226,1.29605288688028
"PCDHGB6",0.0169537284156928,0.0417143161922236,0.0514010913850712,0.108409305200995
"GDE1",0.282921032327159,0.256020199422476,0.128420319717365,0.195274248424048
"RRAGD",0.118915553220199,0.13191651820294,0.130682169305904,0.145103105669867
"KCNG1",0.0731926241672032,0.0169090592502281,0.0192335095379088,0.0137551142706362
"HOXC8",0.0026081091840361,0.874964217939661,0.428636778583845,0.656474147910712
"NTN1",0.102214530149671,0.0891452966527895,0.115450194939705,0.194008078715761
"TNFRSF1A",0.043149000276279,0.0374354302011503,0.0294902064102101,0.0248594713298483
"SLC1A3",0.0916471708123423,0.135392880740351,0.189096849004973,0.387668745060497
"EPB41L3",0.0403884872515391,0.0736834823005667,0.147260119639724,0.135382990890879
"NFE2L1",0.151807217050795,0.218812537854028,0.261102210787243,0.203745405367313
"CCDC80",0.102781214707356,0.0983427250621158,0.0910770258442638,0.08560487288882
"PLTP",0.229461988999723,0.140230517219315,0.0779937470502308,0.145301994617588
"EEF1A2",0.0169110875329603,0.275562001338482,0.831056924968417,0.85595605879244
"PCSK1N",0.191336147169511,0.683231640468646,0.758774941108525,2.10348986945947
"PON2",0.332622914912606,0.173976724128657,0.135346157046463,0.310456050741376
"DHX40",0.392060403220084,0.400103433080427,0.404319280697453,0.354548117080982
"LGALS3BP",0.0488260292256959,0.0759753794137083,0.0758066742094893,0.158488136716152
"EFNB3",0.123989396431312,0.0908508791120679,0.105200166300214,0.145785589903002
"SCP2",0.358964095881449,0.305426865578615,0.331700960849833,0.372584886307404
"CA14",0.166018425484115,0.0975624884363062,0.0959058880689227,0.19665505907738
"ZSCAN18",0.32185846656541,0.325845488653869,0.353926536054108,0.350859503159591
"FOXA1",0.00393360494365489,0.0032595838564484,0.00316098226282709,0.00150294202777852
"MLLT1",0.138859935363244,0.186001378257061,0.315621621204542,0.228077259265992
"NDFIP1",0.367149554120704,0.556029199854601,0.726331238222034,0.937692822643881
"SERPINF1",0.0398952741013107,0.0303120894928599,0.0484999795386741,0.00747988408974153
"DCAF8",0.0997777194509266,0.08468054432424,0.226106917916989,0.113591256018777
"VSTM2L",0.0274325746654792,0.183373947646039,0.468745125592876,0.357866034517968
"CHL1",0.0404375427115603,0.206842485342518,0.862013621225711,0.797317435907769
"SORT1",0.125968407233432,0.135261815650376,0.291085747044917,0.227323888882356
"IL6ST",0.123337150289901,0.23519602852906,0.412802936526619,0.196550260895639
"OS9",0.214952255722272,0.220846570764332,0.226307834701458,0.355375737127424
"CFC1",0.00357863568341111,0.0107558320213909,0.00506485098748833,0.00300342696222945
"SULF1",0.0175438817367417,0.02402515720893,0.0726582486645332,0.0659458725849708
"SDCBP",0.571296404400104,0.484948308657391,0.385691043289474,0.383810845595775
"TSPAN3",0.71308602501842,0.809693615333999,0.83403991509074,0.917852165069552
"CNTN4",0.0301749759996941,0.0517771288270158,0.194320424548638,0.192747162532545
"CETN2",0.808395204230047,0.523745735210248,0.187425435847773,0.43265918335263
"CAPN5",0.0104136496209956,0.0309596858499775,0.0564071615779692,0.0414123341004375
